Date,Title,Price,Info
2026-05-08,"₦ 10,900,000","₦ 10,900,000",Toyota Venza 2009 White | Belgium Standard Toyota Venza 2009 Automatic Transmission Untampered Engine and Gear Top-notch... | Local Used
2026-05-08,"₦ 14,500,000","₦ 14,500,000",Hyundai Sonata Limited 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A) 2015 White | Direct Belgium in very good condition | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 172,000,000","ENTERPRISE | ₦ 172,000,000 | New Rolls-Royce Cullinan 2026 Black"
2026-05-08,"₦ 172,000,000","₦ 172,000,000",New Rolls-Royce Cullinan 2026 Black | BrandNew 2026 Rolls-Royce Cullinan 1.720b Lekki | Brand New
2026-05-08,5+ YEARS ON JIJI,"₦ 21,000,000","₦ 21,000,000 | Land Rover Range Rover Sport 2016 Black | Beast on wheels! No need to buy toks. Call me I’m active!"
2026-05-08,"₦ 21,000,000","₦ 21,000,000",Land Rover Range Rover Sport 2016 Black | Beast on wheels! No need to buy toks. Call me I’m active! | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 24,700,000","₦ 24,700,000 | Mercedes-Benz A-Class 2019 Gray | 2029 A220 Benz Buy and drive Foreign used Panoramic roof with 360camera"
2026-05-08,"₦ 24,700,000","₦ 24,700,000",Mercedes-Benz A-Class 2019 Gray | 2029 A220 Benz Buy and drive Foreign used Panoramic roof with 360camera | Foreign Used
2026-05-08,3+ YEARS ON JIJI,"₦ 7,000,000","ENTERPRISE | ₦ 7,000,000 | Toyota Matrix Hatchback FWD (1.8L 4cyl 5M) 2010 Silver"
2026-05-08,"₦ 7,000,000","₦ 7,000,000",Toyota Matrix Hatchback FWD (1.8L 4cyl 5M) 2010 Silver | Clean used Untempered engine and gear A/c chilling Buy and drive | Local Used
2026-05-08,Verified ID,"₦ 28,500,000","5+ YEARS ON JIJI | DIAMOND | ₦ 28,500,000"
2026-05-08,"₦ 28,500,000","₦ 28,500,000",Toyota Corolla Hatchback 2021 Silver | Foreign used 2021 Toyota Corolla hatchback Sports edition | Foreign Used
2026-05-08,3+ YEARS ON JIJI,"₦ 10,000,000","ENTERPRISE | ₦ 10,000,000 | Ford F-150 Super Cab 4x4 2007 Black"
2026-05-08,"₦ 10,000,000","₦ 10,000,000","Ford F-150 Super Cab 4x4 2007 Black | Foreign used F-150 raptor (Monster trim) double cabin 4x 4 good engine and good transmission, run... | Foreign Used"
